id,user,text,datetime,time,replies,retweets,likes,bookmarks,views,query,candidate,date,hour,date_only
1905757696068112824,Felicidade Vital,"Hoje, durante a tarde,  acompanhamos o nosso presidente André Ventura, pelas ruas da Amadora, é junto das populações que identificamos os seus verdadeiros problemas.
#CHEGA
#acordaportugal
#partidochega
#andreventura
#SomosAlternativa
#legislativas2025",2025-03-28 23:03:36+00:00,28 de mar,0,0,0,0,13,#AndréVentura since:2025-03-22 until:2025-03-29 lang:pt,André Ventura,2025-03-28,23:03:36,2025-03-28
1905740752933855315,Pedro Pinto,"Existe futuro em Portugal! 
#chega
#salvarportugal
#andreventura",2025-03-28 21:56:17+00:00,28 de mar,35,8,100,0,3160,#AndréVentura since:2025-03-22 until:2025-03-29 lang:pt,André Ventura,2025-03-28,21:56:17,2025-03-28
1905533171804049796,Felicidade Vital,"Ontem estivemos no mercado de Benfica a distribuir o Folha Nacional e a contactar com as populações.
A receção das pessoas é fantástica porque voltaram a ter esperança .
#CHEGA
#acordaportugal
#partidochega
#andreventura
#SomosAlternativa
#legislativas2025",2025-03-28 08:11:25+00:00,28 de mar,0,0,0,0,28,#AndréVentura since:2025-03-22 until:2025-03-29 lang:pt,André Ventura,2025-03-28,08:11:25,2025-03-28
1905344402299515176,Felicidade Vital,"Hoje, durante a tarde,  acompanhamos o nosso presidente André Ventura, pelas ruas da Amadora, é junto das populações que identificamos os seus verdadeiros problemas.
#CHEGA
#acordaportugal
#partidochega
#andreventura
#SomosAlternativa
#legislativas2025",2025-03-27 19:41:19+00:00,27 de mar,0,0,0,0,20,#AndréVentura since:2025-03-22 until:2025-03-29 lang:pt,André Ventura,2025-03-27,19:41:19,2025-03-27
1904984014177312894,Maria Odete Madeira,"Exactamente, e #PedroNunoSantos #PS jogou mal, por oportunismo ou leitura política pouco reflectida foi apanhado pela teia de #LuísMontenegro #PSD, acabando por dar uma ajuda ao #Chega/#AndréVentura com consequências de ""enfraquecimento"" político antecipável. Lamentatio!",2025-03-26 19:49:16+00:00,26 de mar,0,1,0,0,60,#AndréVentura since:2025-03-22 until:2025-03-29 lang:pt,André Ventura,2025-03-26,19:49:16,2025-03-26
1904309488062025863,Filipe Melo,"Senhor (ainda) Primeiro Ministro, Dr Luís Montenegro:
Dedico-lhe esta publicação e este outdoor, para que assim possa processar-me também, e aos muitos milhares de portugueses que partilharão, porque concordam com o outdoor e não consigo.
#andreventura #chega #salvarportugal",2025-03-24 23:08:56+00:00,24 de mar,148,100,465,0,28981,#AndréVentura since:2025-03-22 until:2025-03-29 lang:pt,André Ventura,2025-03-24,23:08:56,2025-03-24
1904294317163987141,Vanessa Barata,"O PSD e Luis Montenegro estão muito ofendidos com o cartaz do CHEGA que até decidiram processar o partido.
E deste cartaz da JSD com o ""Pinócrates"", quem se lembra? Também saiu processo?
#partidochega #chega #andreventura #luismontenegro #socrates #psd #ps #jsd #portugal",2025-03-24 22:08:39+00:00,24 de mar,0,0,2,0,111,#AndréVentura since:2025-03-22 until:2025-03-29 lang:pt,André Ventura,2025-03-24,22:08:39,2025-03-24
1904279357209604189,Maria Odete Madeira,"Repare-se que, no cartaz, #AndréVentura posiciona-se num plano de transcendência tipo ditador punitivo colocando os dedos a apontarem para a #Democracia e para #LuísMontenegro, curioso que não tenha apontado para Sócrates, a questão alvo de #AndréVentura é as próximas eleições.",2025-03-24 21:09:13+00:00,24 de mar,0,1,0,0,39,#AndréVentura since:2025-03-22 until:2025-03-29 lang:pt,André Ventura,2025-03-24,21:09:13,2025-03-24
1904260332488413360,C. Pedro Gonçalves,"#Chega/#AndréVentura é um nó de uma teia global híbrida de #ExtremaDireita c/ ADN #NaziSoviético, de sublinhar como Musk defendeu Hitler, Stalin e Mao https://nytimes.com/2025/03/14/technology/elon-musk-x-post-hitler-stalin-mao.html…. Objectivo: fim da #Democracia. A #DireitaDemocrática é mais um alvo a ser disruptado por este projecto.",2025-03-24 19:53:37+00:00,24 de mar,0,2,0,0,106,#AndréVentura since:2025-03-22 until:2025-03-29 lang:pt,André Ventura,2025-03-24,19:53:37,2025-03-24
1904255788895596842,Maria Odete Madeira,"""acusou o primeiro-ministro de conviver mal com a democracia"" #AndréVentura a evocar a #Democracia é como #Satanás a evocar #Deus..., e assim o satanismo do #Chega/#AndréVentura vai passando e espalhando as sementes #nazis... https://msn.com/pt-pt/noticias/portugal/chega-recusa-retirar-cartazes-ap%C3%B3s-provid%C3%AAncia-cautelar-de-montenegro/ar-AA1Bz6GU?ocid=socialshare…",2025-03-24 19:35:34+00:00,24 de mar,0,1,0,0,47,#AndréVentura since:2025-03-22 until:2025-03-29 lang:pt,André Ventura,2025-03-24,19:35:34,2025-03-24
1904251129732465151,Maria Odete Madeira,Montenegro processa Chega e pede a tribunal retirada urgente de todos os cartazes que o associam a José Sócrates https://msn.com/pt-pt/noticias/other/montenegro-processa-chega-e-pede-a-tribunal-retirada-urgente-de-todos-os-cartazes-que-o-associam-a-jos%C3%A9-s%C3%B3crates/ar-AA1Bz0Em?ocid=socialshare…… O alvo do Chega é a Democracia. #LuisMontenegro #PSD processa o #Chega/#AndréVentura?! Óptimo! Esperemos que materialize a intenção!,2025-03-24 19:17:03+00:00,24 de mar,0,1,0,0,61,#AndréVentura since:2025-03-22 until:2025-03-29 lang:pt,André Ventura,2025-03-24,19:17:03,2025-03-24
1904248400142274883,Maria Odete Madeira,#LuísMontenegro processa Chega por cartazes que o associam a Sócrates https://zap.aeiou.pt/montenegro-processa-chega-667442… Há uma espécie de consenso de menorização do #Chega/#AndréVentura entre alguns políticos e jornalistas que o Chega aproveita para espalhar verborreia #Nazi o foco do Chega é a democracia,2025-03-24 19:06:12+00:00,24 de mar,0,2,0,0,127,#AndréVentura since:2025-03-22 until:2025-03-29 lang:pt,André Ventura,2025-03-24,19:06:12,2025-03-24
1904246946119942406,Felicidade Vital,"Não vamos dar tréguas à corrupção!
#CHEGA
#acordaportugal
#partidochega
#andreventura
#SomosAlternativa
#legislativas2025",2025-03-24 19:00:25+00:00,24 de mar,0,0,0,0,13,#AndréVentura since:2025-03-22 until:2025-03-29 lang:pt,André Ventura,2025-03-24,19:00:25,2025-03-24
1904208005521977358,António Manuel Silva Carvalho,"vamos apoiar o chega #jomafenes #chega #andreventura #news #portugal #sa... https://youtube.com/shorts/XmrD3KeJPkM?si=be3YIZHuM8u6rgTM… via 
@YouTube",2025-03-24 16:25:41+00:00,24 de mar,0,1,0,0,26,#AndréVentura since:2025-03-22 until:2025-03-29 lang:pt,André Ventura,2025-03-24,16:25:41,2025-03-24
1904019313930965389,L Bonora,"Pelo menos 4 cartões de acesso teriam sido apreendidos com eles.
@TuckerCarlson
@EpochTimes
@WashingtonExaminer
#LuizLacombeReal
#OesteSemFiltro 
#SergioTavares
#AndreVentura  
#Bukele ",2025-03-24 03:55:54+00:00,24 de mar,0,0,0,0,14,#AndréVentura since:2025-03-22 until:2025-03-29 lang:pt,André Ventura,2025-03-24,03:55:54,2025-03-24
1903914849312108800,Carlos Braziela,"Acordem,Pararem de Votar nos que querem Substituir os Portugueses 
@psocialista
 ,
@ppdpsd
  Pelos Lixos deIslâmicos , Muçulmanos e Indianos. Força 
@PartidoCHEGA
 @CPAC
 
muita atenção às mulheres e jovens em Portugal!! #chega #andreventura #p... https://youtube.com/shorts/4JuE20jh9C8?si=Ho39sH0P0ZUFXfPV… via 
@YouTube",2025-03-23 21:00:47+00:00,23 de mar,0,0,0,0,84,#AndréVentura since:2025-03-22 until:2025-03-29 lang:pt,André Ventura,2025-03-23,21:00:47,2025-03-23
1903582933341937814,Candido Manuel do Vale Pires,"chega uma mudança de confiança #jomafenes #chega #andreventura #news #sa... https://youtube.com/shorts/JGyZrLyHHd0?si=7tl0rJ2LysK78TKo… via 
@YouTube",2025-03-22 23:01:52+00:00,22 de mar,0,0,0,0,16,#AndréVentura since:2025-03-22 until:2025-03-29 lang:pt,André Ventura,2025-03-22,23:01:52,2025-03-22
1903422015396045104,Maria Odete Madeira,"""Mise en abyme"", por cá temos o #Chega/#AndréVentura. Dizer #NãoÉNão ao #Chega/#AndréVentura é dizer #SimÉSim à #Democracia. #PSD #CDS #AD #PS...",2025-03-22 12:22:26+00:00,22 de mar,0,1,0,0,63,#AndréVentura since:2025-03-22 until:2025-03-29 lang:pt,André Ventura,2025-03-22,12:22:26,2025-03-22
1904978890134520076,C. Pedro Gonçalves,"Sim, #LuísMontenegro foi/é o alvo porque em termos estratégicos o alvo do #Chega de #AndréVentura é a #DireitaDemocrática que diz não à #ExtremaDireita e ao projecto totalitário que a ela está associado. Estamos a lidar com um projecto global de erosão das #DemocraciasEuropeias.",2025-03-26 19:28:54+00:00,26 de mar,0,1,0,0,109,#AndréVentura since:2025-03-22 until:2025-03-29 lang:pt,André Ventura,2025-03-26,19:28:54,2025-03-26
1904657688321024273,L Bonora,"Vejam a monstruosidade do esquema. 
Todos sabem que isto é um crime, mas o governo obriga que seja feito em troca de verba para saúde dos municípios.
@TuckerCarlson
@EpochTimes
@WashingtonExaminer
@realDonaldTrump
#SergioTavares
#AndreVentura",2025-03-25 22:12:34+00:00,25 de mar,0,1,0,0,23,#AndréVentura since:2025-03-22 until:2025-03-29 lang:pt,André Ventura,2025-03-25,22:12:34,2025-03-25
1908293387356156041,Beatriz é um nome bonito,"Tratar o povo como estúpidos vai-lhes sair muito caro.... Obrigada #AndréVentura,     , #Chega e aos poucos Competentes Servidores Públicos que começaram a denunciar as carraças da corrupção,agarradas às cadeiras do poder É este o caminho, JÁ #Chega ",2025-04-04 22:59:32+00:00,4 de abr,0,1,12,0,310,#AndréVentura since:2025-03-29 until:2025-04-05 lang:pt,André Ventura,2025-04-04,22:59:32,2025-04-04
1908196689602548179,Felicidade Vital,"Hoje durante a tarde estivemos em Campo de Ourique onde contactamos com a população e distribuímos o Folha Nacional, sentimos grande apoio da população que está farta de políticos corruptos e de insegurança nas ruas.
#CHEGA
#acordaportugal
#partidochega
#andreventura",2025-04-04 16:35:18+00:00,4 de abr,0,0,0,0,13,#AndréVentura since:2025-03-29 until:2025-04-05 lang:pt,André Ventura,2025-04-04,16:35:18,2025-04-04
1908193828579721549,Felicidade Vital,"Hoje  estive reunida com  a Associação empresarial da região de Lisboa onde discutimos vários assuntos relacionados com o trabalho e com a competitividade das empresas.
#CHEGA
#acordaportugal
#partidochega
#andreventura
#SomosAlternativa
#legislativas2025",2025-04-04 16:23:55+00:00,4 de abr,0,0,0,0,26,#AndréVentura since:2025-03-29 until:2025-04-05 lang:pt,André Ventura,2025-04-04,16:23:55,2025-04-04
1908183038376198466,L Bonora,"Deputado Nikolas Ferreira explicou muito bem.
Não é necessário dizer mais nada.
@TuckerCarlson
@EpochTimes
@WashingtonExaminer
@realDonaldTrump
@marcorubio
#Lacombe
#AllanDosSantos",2025-04-04 15:41:03+00:00,4 de abr,0,1,0,0,132,#AndréVentura since:2025-03-29 until:2025-04-05 lang:pt,André Ventura,2025-04-04,15:41:03,2025-04-04
1908143286285422732,CrazyTugão xD,#CHEGA #AndreVentura   vocês já falaram da entrevista onde o Miguel Prata Roque fala abertamente na substituição da população portuguesa e na importação de votos??? Isso devia ser um bom tema para se falar...A PURA TRAIÇÃO AO POVO PORTUGUÊS.,2025-04-04 13:03:05+00:00,4 de abr,0,0,6,0,468,#AndréVentura since:2025-03-29 until:2025-04-05 lang:pt,André Ventura,2025-04-04,13:03:05,2025-04-04
1907480904022253595,Felicidade Vital,"Luís Montenegro vai ter muito e explicar, ou talvez não porque não vai conseguir.
#CHEGA
#acordaportugal
#partidochega
#andreventura
#SomosAlternativa
#legislativas2025",2025-04-02 17:11:01+00:00,2 de abr,0,0,0,0,14,#AndréVentura since:2025-03-29 until:2025-04-05 lang:pt,André Ventura,2025-04-02,17:11:01,2025-04-02
